CGPA,skills_score,projects_count,internships_done,communication_score,aptitude_score,coding_test_score,resume_score,extracurricular,college_tier,hackathons_participated,certifications_count,linkedin_activity_score,github_score,soft_skills_score,interview_score,consistency_score,backlogs,placement_training,selected
7.62,6,4,0,3,10,2,8,Yes,Tier 1,4,0,9,4,6,5,6,0,No,Yes
7.16,8,0,0,4,9,10,9,Yes,Tier 2,5,9,1,8,2,4,8,2,No,Yes
6.46,6,3,3,8,1,7,3,No,Tier 3,1,0,1,8,7,1,1,5,Yes,No
8.06,5,1,1,6,9,10,2,Yes,Tier 1,5,9,2,5,6,1,3,0,Yes,Yes
5.7,5,3,0,8,4,1,7,No,Tier 3,3,4,6,2,6,6,1,2,No,No
6.46,10,3,3,2,7,4,8,Yes,Tier 1,1,7,6,10,9,7,9,2,Yes,No
6.83,10,0,3,9,6,4,9,Yes,Tier 2,0,6,6,7,3,10,5,1,Yes,No
7.28,8,0,2,7,9,4,10,Yes,Tier 1,0,6,6,2,1,3,3,4,No,Yes
8.93,7,0,2,5,2,7,5,No,Tier 2,2,4,6,5,4,9,2,0,Yes,Yes
6.0,8,4,1,7,2,5,9,Yes,Tier 2,2,8,8,3,1,6,7,1,Yes,Yes
7.57,8,3,3,2,7,5,1,Yes,Tier 3,2,4,6,3,5,4,2,1,Yes,Yes
7.96,7,3,2,4,9,3,9,Yes,Tier 2,3,0,9,1,6,3,3,4,No,Yes
5.23,2,4,1,7,5,10,10,No,Tier 3,0,4,5,1,8,5,6,2,Yes,Yes
8.04,9,1,0,2,7,5,5,Yes,Tier 2,3,2,4,4,3,6,4,4,Yes,Yes
5.85,7,2,2,8,8,5,2,Yes,Tier 1,0,2,1,9,3,7,8,5,No,Yes
5.33,6,1,1,10,8,8,6,Yes,Tier 2,5,4,2,5,3,7,7,0,Yes,Yes
9.74,9,4,2,10,4,2,1,Yes,Tier 2,2,0,4,9,4,7,7,1,Yes,Yes
9.83,1,3,0,5,10,8,7,No,Tier 2,2,7,9,10,3,4,3,5,Yes,Yes
9.04,2,3,0,5,7,4,7,Yes,Tier 1,1,8,4,6,9,7,8,2,Yes,Yes
6.52,1,0,2,8,1,9,10,No,Tier 2,5,9,8,6,8,9,8,0,Yes,Yes
5.49,10,0,0,1,4,8,8,No,Tier 3,5,3,2,3,9,6,8,0,No,No
8.42,3,3,1,6,5,5,1,Yes,Tier 2,5,0,1,4,6,3,4,4,Yes,No
7.2,5,3,2,2,10,5,2,Yes,Tier 1,2,1,9,7,6,1,3,5,Yes,Yes
5.61,1,5,2,1,7,9,1,Yes,Tier 1,2,6,10,4,4,9,3,2,No,Yes
7.48,4,0,0,7,6,5,8,Yes,Tier 1,4,0,6,2,6,2,3,0,No,No
5.17,8,0,1,4,4,9,8,No,Tier 2,0,2,10,4,9,3,5,5,Yes,Yes
9.55,6,1,2,1,3,6,3,Yes,Tier 2,2,6,5,4,5,8,5,4,Yes,Yes
6.29,1,3,2,10,6,1,10,Yes,Tier 3,4,3,3,10,6,6,9,5,Yes,Yes
8.31,1,3,0,6,10,8,2,Yes,Tier 2,4,9,9,8,6,10,1,0,Yes,Yes
6.56,3,4,0,10,5,1,9,Yes,Tier 3,4,3,2,10,8,4,1,0,Yes,No
7.6,10,1,1,6,3,2,5,Yes,Tier 3,5,0,10,10,9,7,5,5,Yes,Yes
7.73,8,2,1,3,4,6,9,Yes,Tier 1,5,7,8,8,9,6,2,0,Yes,Yes
5.92,8,2,0,6,2,5,2,No,Tier 2,5,3,4,3,5,9,6,2,Yes,Yes
9.85,3,2,1,10,9,2,6,Yes,Tier 2,2,8,7,4,1,2,3,2,Yes,Yes
8.88,7,5,3,9,7,6,1,Yes,Tier 2,3,4,8,7,4,5,4,2,Yes,No
9.7,3,0,3,6,10,7,7,Yes,Tier 2,3,5,1,5,5,2,4,2,Yes,Yes
9.47,4,2,0,1,3,3,4,Yes,Tier 3,5,5,10,2,6,1,6,2,No,No
7.99,9,4,2,10,8,8,7,No,Tier 3,0,8,1,4,4,1,5,3,No,Yes
9.61,4,0,0,6,8,4,9,Yes,Tier 1,3,2,9,8,4,2,10,1,Yes,Yes
5.44,3,0,0,8,1,10,1,No,Tier 1,2,5,9,2,9,7,2,3,Yes,Yes
5.98,5,2,0,7,5,9,1,Yes,Tier 2,0,8,10,7,5,10,4,5,No,Yes
5.23,7,0,2,8,5,7,7,Yes,Tier 3,0,7,1,2,1,9,5,0,Yes,Yes
6.63,5,1,3,8,3,3,10,No,Tier 2,5,6,5,5,10,4,5,1,Yes,No
6.94,4,1,1,9,2,5,2,No,Tier 1,0,3,4,10,7,9,10,1,Yes,No
6.36,8,2,3,3,1,9,8,Yes,Tier 1,1,4,10,10,9,7,2,0,No,No
9.14,4,4,1,7,4,9,4,Yes,Tier 2,2,6,4,2,8,4,1,0,No,Yes
6.78,2,0,1,6,10,8,7,No,Tier 2,5,5,2,3,9,10,7,1,No,Yes
6.4,10,3,0,2,2,8,10,Yes,Tier 2,2,4,5,3,4,10,3,5,Yes,Yes
7.71,6,2,0,5,5,9,2,Yes,Tier 2,3,8,2,4,6,10,5,1,No,Yes
5.7,2,5,1,3,10,5,8,Yes,Tier 1,3,4,3,4,1,9,9,0,Yes,Yes
9.01,3,0,2,5,2,9,6,Yes,Tier 2,2,5,8,2,6,6,2,4,Yes,Yes
5.37,1,2,2,9,1,6,1,No,Tier 2,1,9,9,4,8,7,8,0,Yes,Yes
9.93,5,2,2,8,10,6,9,Yes,Tier 2,4,6,9,7,7,8,5,2,Yes,Yes
8.86,9,4,2,9,10,10,2,Yes,Tier 3,1,1,7,1,1,3,7,5,Yes,No
5.99,2,3,0,9,10,6,4,No,Tier 2,1,4,4,6,4,7,7,4,Yes,No
5.03,7,0,3,8,10,7,9,Yes,Tier 1,3,5,9,8,2,10,4,3,Yes,Yes
9.08,5,2,3,8,9,9,8,Yes,Tier 2,1,2,1,6,4,10,7,5,Yes,Yes
8.53,2,2,1,6,2,3,8,Yes,Tier 1,3,3,2,8,10,10,6,2,Yes,Yes
8.65,8,0,2,6,10,6,4,No,Tier 1,3,1,10,7,8,7,9,2,No,Yes
8.86,6,2,0,6,4,10,1,No,Tier 2,5,6,5,3,3,9,10,3,No,Yes
5.37,4,2,0,10,3,5,10,Yes,Tier 1,0,1,5,7,2,4,4,4,Yes,Yes
6.79,4,2,0,6,1,4,4,Yes,Tier 1,5,1,5,5,3,4,6,1,Yes,Yes
5.58,2,1,1,9,8,8,3,No,Tier 2,1,4,8,3,9,3,4,3,No,Yes
9.32,3,1,0,10,2,3,3,No,Tier 2,1,4,10,10,2,7,9,0,Yes,Yes
8.12,7,3,1,1,8,2,1,Yes,Tier 3,1,5,2,7,1,1,10,1,Yes,Yes
6.65,3,4,1,10,1,4,9,No,Tier 1,5,1,10,3,3,6,1,5,Yes,No
5.32,5,0,1,6,6,3,3,No,Tier 3,2,8,9,2,5,4,2,2,Yes,No
6.55,10,4,1,8,4,7,4,Yes,Tier 1,4,1,5,7,9,2,8,0,No,No
6.63,6,4,0,1,3,4,1,Yes,Tier 2,4,0,7,1,5,6,5,4,Yes,Yes
8.65,6,1,0,6,1,10,3,No,Tier 1,2,3,9,1,5,3,6,0,No,Yes
8.19,4,3,3,9,10,9,1,Yes,Tier 3,5,1,5,5,2,6,6,4,Yes,No
9.44,6,4,0,6,1,5,4,Yes,Tier 1,5,6,4,2,9,2,1,2,Yes,Yes
7.36,3,4,2,2,7,3,10,Yes,Tier 2,1,3,9,1,9,9,7,2,No,Yes
5.6,7,2,2,1,6,2,7,Yes,Tier 1,3,1,8,8,4,6,2,4,Yes,No
8.57,7,0,1,4,3,6,10,Yes,Tier 2,2,9,3,1,8,8,7,1,Yes,Yes
8.8,4,3,1,6,2,6,8,Yes,Tier 1,3,4,4,9,7,9,10,4,Yes,Yes
7.81,2,0,1,10,10,1,8,Yes,Tier 2,2,8,9,8,1,10,5,1,Yes,No
8.85,7,1,3,10,3,7,1,Yes,Tier 3,1,3,1,1,5,10,4,5,No,No
7.47,3,4,1,9,8,5,6,No,Tier 3,5,0,7,7,1,3,9,0,Yes,Yes
7.61,1,4,3,5,7,7,8,No,Tier 2,5,7,10,3,9,1,9,1,No,Yes
7.14,2,5,1,7,7,4,10,Yes,Tier 2,1,7,3,6,6,10,6,4,Yes,No
5.13,10,0,2,6,5,5,10,No,Tier 2,2,9,10,10,3,4,1,3,Yes,Yes
5.54,9,1,1,6,10,7,8,Yes,Tier 3,1,9,7,2,6,5,1,1,Yes,Yes
5.16,8,5,0,9,3,6,9,Yes,Tier 2,0,4,9,1,6,6,10,1,Yes,Yes
8.18,6,5,1,5,1,1,8,Yes,Tier 3,2,7,10,5,1,6,2,4,No,Yes
6.57,6,2,0,2,1,1,5,Yes,Tier 3,1,0,1,7,9,3,2,5,Yes,Yes
7.54,1,5,0,8,6,2,1,No,Tier 2,3,1,4,8,4,5,10,5,No,Yes
9.54,2,5,0,3,4,3,9,Yes,Tier 1,4,3,3,5,3,7,8,3,Yes,Yes
6.25,4,2,0,9,7,1,10,Yes,Tier 3,4,2,6,7,4,8,3,5,Yes,No
7.05,3,4,3,5,10,10,10,Yes,Tier 2,1,2,4,2,2,8,1,2,Yes,Yes
8.78,1,4,3,1,10,2,10,Yes,Tier 1,3,8,5,1,3,3,6,0,Yes,Yes
6.14,8,3,1,4,10,2,10,No,Tier 2,3,8,5,1,10,2,8,4,Yes,Yes
5.38,7,5,1,9,1,7,5,No,Tier 2,4,7,3,10,3,6,6,0,Yes,No
6.45,4,0,3,1,6,6,7,Yes,Tier 2,5,6,7,1,8,9,4,3,No,Yes
5.81,9,4,1,8,7,9,7,No,Tier 2,5,7,6,3,10,8,9,5,Yes,Yes
9.65,4,1,1,8,1,10,4,No,Tier 2,0,3,9,5,7,3,10,5,Yes,Yes
9.04,1,0,3,9,2,5,8,Yes,Tier 1,0,6,5,8,1,2,8,2,Yes,No
8.17,10,3,3,9,9,3,10,No,Tier 2,2,7,3,7,2,4,1,1,Yes,No
9.36,1,5,1,6,9,1,9,No,Tier 3,2,3,5,2,8,1,6,5,Yes,No
9.02,1,2,3,5,6,1,4,Yes,Tier 1,3,4,10,9,2,3,8,2,Yes,Yes
5.93,1,3,2,7,4,2,2,No,Tier 2,4,7,9,6,1,2,4,1,Yes,Yes
9.46,4,0,0,9,7,3,10,No,Tier 1,5,1,5,8,5,1,9,1,Yes,Yes
7.7,1,2,0,5,5,10,4,Yes,Tier 1,1,3,7,4,4,9,9,1,No,No
9.04,2,1,2,3,3,10,2,Yes,Tier 2,2,3,1,2,4,10,2,3,Yes,Yes
9.48,4,2,2,9,4,5,1,No,Tier 1,0,9,7,8,3,1,9,0,No,No
6.59,7,2,1,10,2,7,1,Yes,Tier 3,3,3,4,2,9,6,3,5,Yes,Yes
5.55,2,1,1,1,6,4,4,Yes,Tier 3,2,0,5,4,1,6,7,2,Yes,Yes
6.14,8,4,0,1,3,10,9,Yes,Tier 1,3,5,8,2,6,6,10,5,Yes,Yes
7.14,7,4,1,10,7,6,9,No,Tier 3,5,2,8,5,4,9,7,4,Yes,No
9.09,9,2,0,4,4,6,7,Yes,Tier 1,1,1,5,8,9,6,2,1,Yes,Yes
9.3,6,2,1,2,8,2,5,No,Tier 1,2,9,2,10,4,7,7,3,No,Yes
5.03,4,3,1,7,1,6,6,Yes,Tier 2,4,7,6,3,5,3,4,4,Yes,No
7.55,6,4,0,2,9,5,1,Yes,Tier 2,1,6,6,2,4,10,8,1,No,Yes
7.09,4,1,2,7,3,6,3,No,Tier 2,0,6,1,2,9,2,8,3,Yes,No
6.11,7,5,2,8,3,4,1,No,Tier 1,3,6,5,6,9,8,9,2,No,Yes
5.6,9,5,1,8,5,1,10,Yes,Tier 3,1,1,4,3,2,4,7,0,Yes,Yes
6.69,3,2,2,3,10,9,5,Yes,Tier 3,1,4,1,5,10,2,2,0,Yes,No
9.71,3,2,1,9,1,3,4,Yes,Tier 3,1,0,8,2,1,10,7,1,Yes,No
6.62,2,5,3,10,3,1,3,Yes,Tier 1,3,1,8,6,4,4,4,1,Yes,Yes
7.59,1,3,3,10,4,4,6,Yes,Tier 2,5,9,2,3,10,5,8,2,Yes,Yes
8.52,1,3,3,10,2,7,6,Yes,Tier 2,5,0,10,7,5,9,8,4,No,Yes
6.82,3,3,2,6,6,4,9,Yes,Tier 3,4,5,9,8,5,8,1,4,No,Yes
9.86,7,0,2,4,10,4,4,No,Tier 2,3,8,3,4,7,2,8,2,No,Yes
9.81,9,1,0,8,4,9,9,Yes,Tier 2,3,7,3,5,4,1,10,4,Yes,Yes
6.26,2,0,2,4,1,6,4,Yes,Tier 1,0,5,4,5,2,1,4,2,No,Yes
7.49,7,2,1,4,3,9,8,Yes,Tier 3,3,6,7,3,4,1,2,0,Yes,No
6.5,1,3,0,8,7,2,8,No,Tier 1,3,2,2,2,1,3,10,1,No,No
6.42,2,3,2,4,3,7,2,Yes,Tier 1,4,9,10,3,9,6,8,4,No,Yes
5.18,6,5,0,1,6,7,10,No,Tier 3,5,1,2,5,9,8,4,1,Yes,No
8.05,5,5,2,6,6,8,8,No,Tier 1,3,7,9,8,4,6,10,3,No,Yes
7.51,8,3,1,8,1,10,2,No,Tier 1,3,4,4,4,5,4,6,2,Yes,Yes
5.26,2,4,3,3,2,9,8,Yes,Tier 1,3,6,7,5,10,3,6,4,Yes,Yes
6.39,1,5,3,2,10,8,6,No,Tier 1,5,3,9,8,9,6,10,2,Yes,Yes
9.54,7,1,1,6,6,2,3,Yes,Tier 2,3,3,7,7,10,9,8,3,Yes,Yes
6.2,6,0,0,1,2,3,7,No,Tier 2,5,4,5,10,1,4,5,5,No,Yes
5.72,8,1,3,5,2,2,6,Yes,Tier 1,0,3,1,10,5,3,7,2,No,Yes
7.45,8,5,2,6,4,1,3,Yes,Tier 1,0,4,9,8,6,5,6,2,Yes,Yes
9.93,2,3,2,8,8,7,5,Yes,Tier 2,5,6,8,4,1,6,6,2,Yes,No
6.21,8,2,0,7,6,8,4,Yes,Tier 2,3,5,5,2,5,7,1,3,No,Yes
8.36,6,4,0,6,8,5,6,Yes,Tier 2,5,6,9,2,4,4,5,4,No,No
8.81,9,5,1,2,4,10,1,No,Tier 1,3,6,8,9,6,2,5,3,Yes,Yes
6.19,7,1,3,8,3,9,1,Yes,Tier 2,0,8,4,2,2,8,2,1,Yes,Yes
8.64,2,2,0,8,7,4,8,Yes,Tier 2,0,1,2,1,3,6,9,3,No,Yes
6.84,8,5,3,5,7,1,8,No,Tier 2,5,2,9,5,6,9,8,5,Yes,No
8.16,9,3,3,3,2,4,9,Yes,Tier 2,3,2,9,9,6,8,4,1,Yes,Yes
8.17,7,3,2,8,1,5,8,Yes,Tier 1,3,5,7,9,8,7,2,1,No,No
7.68,4,3,0,5,8,8,2,Yes,Tier 3,4,0,8,6,9,7,5,3,Yes,Yes
5.45,9,3,1,3,3,5,5,Yes,Tier 2,0,8,4,4,4,3,10,0,No,No
9.18,4,5,0,9,6,10,8,No,Tier 2,0,4,10,9,9,4,7,3,Yes,Yes
6.6,4,4,3,9,7,9,9,No,Tier 2,5,5,4,2,3,2,9,4,No,Yes
5.93,9,4,2,7,8,6,6,Yes,Tier 2,0,6,1,4,6,9,7,2,Yes,Yes
5.2,8,1,0,8,6,8,4,No,Tier 2,2,0,9,6,10,8,7,1,Yes,Yes
7.95,4,5,0,5,7,3,9,Yes,Tier 2,1,2,10,1,9,2,6,5,No,Yes
8.39,8,3,0,5,5,3,4,Yes,Tier 2,0,8,9,2,2,5,9,0,No,Yes
5.08,8,4,1,5,3,9,6,Yes,Tier 1,2,4,5,2,3,1,3,0,No,Yes
7.56,7,5,1,2,2,6,5,No,Tier 1,5,1,7,1,10,6,7,5,No,Yes
6.13,10,2,1,3,7,4,1,Yes,Tier 1,5,2,3,9,3,5,10,5,Yes,No
8.23,6,4,1,8,8,8,4,No,Tier 2,1,5,8,1,5,2,2,2,Yes,No
5.87,8,4,2,6,8,4,10,Yes,Tier 1,1,2,9,1,3,3,9,4,No,Yes
8.45,7,1,2,9,3,4,3,No,Tier 1,0,0,8,4,2,4,5,0,Yes,Yes
6.93,5,4,1,7,2,7,8,Yes,Tier 3,1,4,5,1,7,2,9,5,Yes,Yes
9.68,4,2,3,6,9,7,7,No,Tier 1,2,9,6,9,9,4,6,0,Yes,Yes
5.69,2,3,1,4,6,8,10,Yes,Tier 2,0,6,3,8,5,2,8,1,No,No
6.71,8,0,1,7,10,10,1,Yes,Tier 2,3,4,3,8,4,3,5,5,No,Yes
5.57,9,1,3,4,3,7,8,Yes,Tier 2,3,0,7,7,4,1,1,2,Yes,No
9.62,4,2,0,7,5,8,7,No,Tier 2,5,1,9,10,1,3,10,4,Yes,Yes
9.39,4,1,3,5,1,8,2,Yes,Tier 2,3,1,9,9,9,8,5,0,Yes,Yes
6.29,5,5,3,2,2,7,10,Yes,Tier 1,2,9,2,7,9,1,6,2,No,Yes
8.3,2,3,2,7,9,1,4,Yes,Tier 1,2,3,7,10,1,10,5,3,Yes,Yes
9.09,7,4,0,8,10,4,2,Yes,Tier 2,5,3,8,8,3,5,1,3,No,Yes
7.78,5,5,3,10,10,3,9,No,Tier 2,1,0,1,1,6,4,1,5,No,No
7.65,6,4,1,2,3,9,8,No,Tier 2,5,1,10,6,1,1,4,5,Yes,Yes
6.21,4,2,3,6,8,10,1,No,Tier 3,2,1,4,3,5,7,7,4,Yes,No
5.47,8,3,2,4,10,8,1,No,Tier 2,5,0,9,2,3,5,9,4,Yes,Yes
9.49,8,0,3,5,8,9,8,Yes,Tier 1,0,4,9,1,3,10,4,5,Yes,Yes
9.5,5,0,1,1,5,5,5,No,Tier 2,4,4,5,1,1,2,5,2,Yes,No
8.17,6,4,0,6,8,5,1,No,Tier 1,3,4,7,1,10,5,5,1,No,Yes
6.7,3,5,2,8,2,10,4,Yes,Tier 1,5,5,6,3,2,2,10,4,Yes,Yes
6.75,1,3,0,2,2,5,2,Yes,Tier 2,1,4,4,4,8,4,5,1,No,No
8.63,9,3,2,1,4,2,9,Yes,Tier 3,1,9,7,4,8,7,4,3,No,Yes
9.49,9,2,1,9,8,7,10,No,Tier 1,3,6,3,6,6,10,7,1,Yes,Yes
9.44,3,5,2,2,2,8,6,Yes,Tier 2,3,8,1,2,10,8,1,4,Yes,Yes
8.9,4,0,0,8,4,5,9,No,Tier 2,0,8,2,5,1,5,4,0,Yes,Yes
8.21,7,2,0,5,8,8,1,Yes,Tier 3,1,9,7,4,1,7,5,0,Yes,No
5.42,2,1,3,2,3,6,1,Yes,Tier 2,5,0,10,6,9,5,7,3,Yes,No
5.81,3,3,0,5,8,4,4,Yes,Tier 2,3,5,4,3,4,9,3,1,Yes,Yes
9.49,6,0,3,9,2,7,2,Yes,Tier 1,5,6,7,4,7,10,2,1,No,Yes
8.03,8,2,0,6,1,8,1,No,Tier 2,2,8,8,1,5,9,4,5,Yes,Yes
5.05,1,4,3,3,6,9,6,No,Tier 2,1,9,7,5,7,8,7,5,Yes,Yes
5.51,4,1,1,8,8,5,8,Yes,Tier 2,2,4,5,7,6,2,2,3,Yes,No
8.32,1,2,3,1,9,9,1,No,Tier 2,3,1,1,6,5,6,7,1,Yes,No
5.03,2,4,0,9,10,8,10,Yes,Tier 1,0,9,6,3,4,9,8,5,Yes,Yes
5.8,8,0,1,9,8,1,10,No,Tier 1,1,7,7,7,10,6,6,4,Yes,Yes
7.74,6,0,2,4,2,8,6,Yes,Tier 1,1,0,4,6,5,7,9,2,Yes,Yes
8.46,9,1,0,8,1,8,1,Yes,Tier 2,5,6,3,1,4,7,1,1,No,Yes
8.26,2,4,3,3,7,7,8,No,Tier 3,3,3,6,8,10,4,10,0,Yes,Yes
6.12,3,3,2,6,7,1,6,No,Tier 2,2,9,10,1,7,10,2,4,Yes,No
8.56,9,0,3,10,3,6,1,No,Tier 1,5,5,3,10,2,8,4,4,Yes,Yes
6.19,9,5,2,10,6,2,9,No,Tier 2,4,7,10,10,9,10,8,2,Yes,Yes
6.63,6,3,1,8,7,6,1,Yes,Tier 2,5,2,8,3,5,2,3,0,Yes,Yes
8.73,3,3,0,9,9,2,9,No,Tier 2,3,1,5,6,3,3,8,3,No,Yes
8.25,5,2,1,8,1,2,3,Yes,Tier 2,5,7,6,3,5,10,4,3,No,Yes
9.25,2,2,0,9,3,7,8,Yes,Tier 2,2,5,3,9,9,8,5,5,Yes,Yes
8.29,7,0,2,4,5,10,8,Yes,Tier 2,5,5,1,2,2,3,3,0,Yes,No
7.84,10,3,1,10,3,1,7,Yes,Tier 3,2,7,1,9,8,9,6,2,Yes,No
5.47,8,2,0,1,8,5,2,No,Tier 3,5,4,5,1,1,6,3,2,Yes,Yes
6.84,6,4,2,7,10,1,3,Yes,Tier 1,4,4,5,7,7,10,9,1,No,Yes
6.33,8,4,1,10,6,9,5,Yes,Tier 2,1,6,1,8,7,9,6,0,No,Yes
6.22,2,4,1,4,2,5,5,Yes,Tier 3,0,5,6,2,7,2,1,3,Yes,Yes
9.87,3,4,1,1,1,5,2,No,Tier 2,4,2,9,6,7,2,10,1,Yes,Yes
6.97,7,3,1,3,10,4,1,Yes,Tier 1,3,3,4,7,3,3,3,4,Yes,Yes
9.46,10,4,3,7,5,3,5,No,Tier 2,2,1,8,2,3,4,8,2,No,Yes
8.16,1,3,2,3,9,8,5,Yes,Tier 1,5,7,7,1,2,8,2,0,Yes,Yes
8.97,7,0,3,1,10,7,3,Yes,Tier 1,4,5,6,10,9,3,8,3,No,Yes
7.51,6,0,2,7,9,9,8,Yes,Tier 1,2,6,2,3,3,1,10,3,No,No
7.88,8,4,2,8,1,6,6,No,Tier 3,1,4,9,9,6,8,6,5,Yes,No
7.46,7,4,2,5,3,1,2,Yes,Tier 2,5,6,10,6,4,3,4,5,Yes,Yes
5.98,4,4,0,6,6,5,2,Yes,Tier 3,2,3,6,5,10,4,2,5,Yes,Yes
8.61,3,0,2,3,5,5,4,No,Tier 3,0,9,10,6,10,1,3,0,Yes,Yes
6.4,3,2,1,5,4,7,6,No,Tier 3,5,3,1,9,3,5,2,3,Yes,Yes
5.12,4,0,3,3,2,10,9,Yes,Tier 2,3,1,10,7,5,1,10,3,No,Yes
8.23,9,4,1,2,4,1,8,Yes,Tier 2,1,7,5,1,5,10,4,5,Yes,Yes
5.89,9,2,1,7,5,1,8,No,Tier 2,2,6,6,2,1,1,5,5,No,Yes
9.7,2,2,3,10,2,6,2,No,Tier 1,0,3,8,6,7,9,5,4,Yes,Yes
9.77,5,1,1,7,10,6,4,Yes,Tier 2,0,2,10,2,8,9,1,5,Yes,No
9.57,1,3,0,8,1,9,6,Yes,Tier 3,3,0,4,8,7,1,9,0,Yes,No
6.85,4,4,1,1,7,3,6,Yes,Tier 3,1,4,9,6,1,10,1,5,Yes,Yes
5.08,2,3,1,2,7,5,10,No,Tier 1,3,5,3,9,6,3,5,4,Yes,Yes
9.64,8,1,3,2,8,5,6,No,Tier 1,3,2,8,2,10,5,2,5,Yes,No
7.14,4,3,1,3,10,1,8,Yes,Tier 3,0,9,2,1,2,1,4,2,No,Yes
9.83,5,4,3,7,6,6,8,Yes,Tier 1,4,8,6,4,10,4,5,0,No,Yes
9.82,4,1,2,7,1,4,7,No,Tier 3,2,9,1,10,1,4,6,3,Yes,Yes
9.27,5,3,2,7,8,6,5,No,Tier 2,1,9,4,8,8,4,9,1,No,Yes
6.47,5,0,0,1,2,8,6,Yes,Tier 3,4,8,10,6,4,2,3,3,Yes,Yes
6.93,5,2,3,2,3,8,6,Yes,Tier 3,3,5,9,3,3,7,9,3,Yes,Yes
9.26,3,1,3,8,8,3,3,Yes,Tier 2,1,4,7,7,1,4,3,0,No,Yes
6.58,7,0,3,9,4,9,3,No,Tier 1,3,1,10,10,9,10,2,3,Yes,Yes
5.85,3,4,0,10,5,4,7,No,Tier 1,5,5,10,1,8,6,6,1,No,Yes
7.78,2,2,0,7,9,1,6,No,Tier 2,1,4,4,8,8,9,5,0,No,Yes
9.68,3,1,1,1,7,9,5,Yes,Tier 1,1,2,7,8,8,5,7,1,Yes,Yes
8.48,3,2,3,4,10,5,6,Yes,Tier 3,2,9,3,3,5,5,3,3,No,Yes
7.85,8,5,0,10,7,8,6,Yes,Tier 1,0,2,4,1,5,5,9,2,Yes,Yes
5.49,4,5,2,8,1,7,4,No,Tier 2,2,0,1,3,8,5,1,0,Yes,Yes
8.08,3,1,2,5,1,5,5,Yes,Tier 2,2,8,1,7,6,5,3,2,Yes,Yes
9.95,10,1,3,1,8,8,7,No,Tier 3,4,3,4,2,8,9,5,1,No,Yes
5.7,5,3,2,7,10,1,1,No,Tier 3,2,8,9,7,2,2,3,2,No,No
7.59,4,2,1,6,1,4,10,Yes,Tier 2,1,3,1,5,2,9,3,2,Yes,Yes
9.39,9,5,1,9,10,5,6,Yes,Tier 2,3,4,2,1,6,9,9,4,No,Yes
8.7,8,5,3,4,2,4,5,Yes,Tier 2,4,4,5,8,4,9,10,4,Yes,Yes
8.49,7,2,0,4,4,6,6,Yes,Tier 2,1,3,7,3,2,10,9,5,Yes,No
8.51,8,5,0,8,9,9,1,Yes,Tier 3,5,3,2,1,7,6,6,2,Yes,Yes
6.8,5,0,0,4,7,1,4,Yes,Tier 2,3,6,7,3,3,8,7,2,Yes,Yes
6.47,4,5,0,3,7,10,8,No,Tier 3,3,6,5,6,9,10,9,4,Yes,Yes
9.05,7,5,3,7,10,2,4,No,Tier 2,4,5,6,2,6,4,6,0,Yes,Yes
9.05,1,4,1,5,7,1,10,No,Tier 3,2,2,3,2,9,5,6,5,Yes,Yes
9.34,6,0,3,9,5,7,8,Yes,Tier 2,4,5,10,6,3,8,10,3,Yes,Yes
9.57,8,3,3,5,1,2,8,No,Tier 3,4,8,6,4,8,10,1,2,Yes,Yes
